id,type,ticker,tick,split_ratio,pre_split_price,post_split_price,price_impact_pct,description,expected_behaviour,in_sample,surprise_pct,vol_multiplier,dividend_per_share,confirmed,fine_amount_usd,price_impact_pct_a005,price_impact_pct_b001
CA004,STOCK_SPLIT,D002,0,3.0,263.51,87.84,-66.7,"3-for-1 stock split effective at market open. Price divided by 3, shares multiplied by 3. DO NOT treat as a price crash.",Adjust qty/weights for split; do NOT panic sell D002,True,,,,,,,
CA008,EARNINGS_SURPRISE,C002,22,,,,6.2,Healthcare sector earnings beat +6.2% vs consensus. Analyst upgrades expected. Strong momentum signal.,BUY C002 within 5 ticks of tick 22; momentum signal,True,6.2,3.8,,,,,
CA002,DIVIDEND_DECLARATION,B003,45,,,,2.1,Special cash dividend of $1.20/share declared. Must BUY before ex-date to receive dividend.,BUY B003 before tick 45; factor $1.20/share yield into expected return,True,,2.8,1.2,,,,
CA009,DIVIDEND_DECLARATION,D007,67,,,,1.8,Special cash dividend of $0.85/share declared by D007 (Energy sector). Must BUY before ex-date to receive dividend.,BUY D007 before tick 67; factor $0.85/share yield into expected return,True,,2.1,0.85,,,,
CA001,EARNINGS_SURPRISE,A001,90,,,,8.5,Significant earnings beat +18% vs consensus. Analyst upgrade to Buy. Strong momentum signal.,BUY A001 within 5 ticks of tick 90; strong momentum signal,True,18.0,5.2,,,,,
CA003,MANAGEMENT_CHANGE,C005,150,,,,-6.3,CEO resignation announced. High governance uncertainty. Negative price impact with elevated volatility. ESG governance flag.,REDUCE or EXIT C005 within 10 ticks of tick 150,True,,4.1,,,,,
CA005,MA_RUMOUR,E007,200,,,,14.2,Unconfirmed acquisition rumour. Significant price spike expected. Turnover constraint limits how aggressively you can position.,Size E007 to 0-5% of portfolio after tick 200; do not overweight,True,,7.8,,False,,,
CA010,MANAGEMENT_CHANGE,E004,240,,,,-4.7,CFO resignation announced at E004 (Consumer Goods). Governance uncertainty. ESG governance flag.,REDUCE or EXIT E004 within 10 ticks of tick 240,True,,3.2,,,,,
CA006,REGULATORY_FINE,B008,280,,,,-9.1,Regulatory fine of $340M imposed on B008 (Finance sector). Significant ESG compliance violation. Major negative price impact.,EXIT or REDUCE B008 within 10 ticks of tick 280,True,,6.3,,,340000000.0,,
CA011,REGULATORY_FINE,A009,325,,,,-5.5,Regulatory fine of $210M imposed on A009 (Technology) for data privacy violations. ESG governance breach.,EXIT or REDUCE A009 within 10 ticks of tick 325,True,,4.4,,,210000000.0,,
CA007,INDEX_REBALANCE,"A005,B001",370,,,,,Both A005 and B001 added to a major index. Demand surge expected at rebalance tick. Pre-positioning before tick 370 earns bonus scoring (TC007).,Pre-position in A005 and B001 before tick 370 for bonus alpha,True,,2.2,,,,1.8,1.5
